21,UFC Fight Night: Yan vs. Figueiredo,Baergeng Jieleyisi,SuYoung You,2024-11-23,"Macau, China",China,Blue,False,Bantamweight,MALE,3,0,0,2,Orthodox,167.64,165.1,135,0,1,2,Orthodox,175.26,177.8,135,28,28,U-DEC,
22,UFC Fight Night: Yan vs. Figueiredo,Kiru Sahota,DongHun Choi,2024-11-23,"Macau, China",China,Blue,False,Flyweight,MALE,3,0,0,2,Switch,165.1,167.64,125,0,0,2,Orthodox,177.8,185.42,125,29,25,KO/TKO,Punch
23,UFC Fight Night: Yan vs. Figueiredo,Shi Ming,Feng Xiaocan,2024-11-23,"Macau, China",China,Red,False,Women's Strawweight,FEMALE,3,0,0,2,Southpaw,170.18,167.64,115,0,0,2,Orthodox,157.48,152.4,115,30,22,KO/TKO,Kick
24,UFC Fight Night: Yan vs. Figueiredo,Nyamjargal Tumendemberel,Carlos Hernandez,2024-11-23,"Macau, China",China,Blue,False,Flyweight,MALE,3,0,3,3,Orthodox,172.72,170.18,125,0,0,2,Orthodox,170.18,180.34,125,26,31,S-DEC,
25,UFC Fight Night: Yan vs. Figueiredo,Lone'er Kavanagh,Jose Ochoa,2024-11-23,"Macau, China",China,Red,False,Flyweight,MALE,3,0,0,0,Southpaw,170.18,170.18,125,0,0,1,Orthodox,162.56,170.18,125,25,23,U-DEC,
26,UFC Fight Night: Yan vs. Figueiredo,Xiao Long,Quang Le,2024-11-23,"Macau, China",China,Red,False,Bantamweight,MALE,3,0,1,0,Orthodox,167.64,177.8,135,0,2,2,Orthodox,172.72,177.8,135,26,33,KO/TKO,Punch
27,UFC Fight Night: Yan vs. Figueiredo,Maheshate,Nikolas Motta,2024-11-23,"Macau, China",China,Blue,False,Lightweight,MALE,3,0,2,3,Orthodox,175.26,177.8,155,0,2,3,Orthodox,182.88,180.34,155,24,31,U-DEC,
28,UFC 309: Jones vs. Miocic,Jon Jones,Stipe Miocic,2024-11-16,"New York City, New York, USA",USA,Red,True,Heavyweight,MALE,5,0,4,14,Orthodox,193.04,203.2,240,0,1,21,Orthodox,193.04,213.36,248,37,42,KO/TKO,Spinning Back Kick
29,UFC 309: Jones vs. Miocic,Charles Oliveira,Michael Chandler,2024-11-16,"New York City, New York, USA",USA,Red,False,Lightweight,MALE,3,0,3,4,Orthodox,172.72,180.34,155,0,10,22,Orthodox,177.8,187.96,155,35,38,U-DEC,
30,UFC 309: Jones vs. Miocic,Bo Nickal,Paul Craig,2024-11-16,"New York City, New York, USA",USA,Red,False,Middleweight,MALE,3,1,8,9,Orthodox,190.5,193.04,185,0,0,5,Southpaw,185.42,193.04,185,28,36,U-DEC,
31,UFC 309: Jones vs. Miocic,Viviane Araujo,Karine Silva,2024-11-16,"New York City, New York, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,0,5,Orthodox,165.1,170.18,125,0,5,6,Orthodox,162.56,172.72,125,37,30,U-DEC,
32,UFC 309: Jones vs. Miocic,Mauricio Ruffy,James Llontop,2024-11-16,"New York City, New York, USA",USA,Red,False,Catch Weight,MALE,3,0,2,1,Orthodox,182.88,185.42,155,0,0,2,Orthodox,180.34,190.5,155,28,25,U-DEC,
33,UFC 309: Jones vs. Miocic,Jonathan Martinez,Marcus McGhee,2024-11-16,"New York City, New York, USA",USA,Blue,False,Bantamweight,MALE,3,0,0,3,Orthodox,172.72,175.26,135,0,4,10,Southpaw,172.72,177.8,135,30,34,U-DEC,
